name,name_in_kegg,map_id,classes,main_class
NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,Neuroactive ligand-receptor interaction,path:map04080,Environmental Information Processing; Signaling molecules and interaction,Environmental Information Processing
CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,Cytokine-cytokine receptor interaction,path:map04060,Environmental Information Processing; Signaling molecules and interaction,Environmental Information Processing
RIBOSOME,Ribosome biogenesis in eukaryotes,path:map03008,Genetic Information Processing; Translation,Genetic Information Processing
SPLICEOSOME,Spliceosome,path:map03040,Genetic Information Processing; Transcription,Genetic Information Processing
ALCOHOLISM,Alcoholism,path:map05034,Human Diseases; Substance dependence,Human Diseases
AMINOACYL_TRNA_BIOSYNTHESIS,Aminoacyl-tRNA biosynthesis,path:map00970,Genetic Information Processing; Translation,Genetic Information Processing
VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,"Valine, leucine and isoleucine degradation",path:map00280,Metabolism; Amino acid metabolism,Metabolism
PROTEASOME,Proteasome,path:map03050,"Genetic Information Processing; Folding, sorting and degradation",Genetic Information Processing
AXON_GUIDANCE,Axon guidance,path:map04360,Organismal Systems; Development,Organismal Systems
HIPPO_SIGNALING_PATHWAY,Hippo signaling pathway,path:map04390,Environmental Information Processing; Signal transduction,Environmental Information Processing
SIGNALING_PATHWAYS_REGULATING_PLURIPOTENCY_OF_STEM_CELLS,Signaling pathways regulating pluripotency of stem cells,path:map04550,Cellular Processes; Cellular community - eukaryotes,Cellular Processes
FOCAL_ADHESION,Focal adhesion,path:map04510,Cellular Processes; Cellular community - eukaryotes,Cellular Processes
CALCIUM_SIGNALING_PATHWAY,Calcium signaling pathway,path:map04020,Environmental Information Processing; Signal transduction,Environmental Information Processing
NICOTINE_ADDICTION,Nicotine addiction,path:map05033,Human Diseases; Substance dependence,Human Diseases
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Arrhythmogenic right ventricular cardiomyopathy (ARVC),path:map05412,Human Diseases; Cardiovascular diseases,Human Diseases
DILATED_CARDIOMYOPATHY_DCM,Dilated cardiomyopathy (DCM),path:map05414,Human Diseases; Cardiovascular diseases,Human Diseases
COMPLEMENT_AND_COAGULATION_CASCADES,Complement and coagulation cascades,path:map04610,Organismal Systems; Immune system,Organismal Systems
ECM_RECEPTOR_INTERACTION,ECM-receptor interaction,path:map04512,Environmental Information Processing; Signaling molecules and interaction,Environmental Information Processing
BASAL_CELL_CARCINOMA,Basal cell carcinoma,path:map05217,Human Diseases; Cancers: Specific types,Human Diseases
HUMAN_PAPILLOMAVIRUS_INFECTION,Human papillomavirus infection,path:map05165,Human Diseases; Infectious diseases: Viral,Human Diseases
PROTEOGLYCANS_IN_CANCER,Proteoglycans in cancer,path:map05205,Human Diseases; Cancers: Overview,Human Diseases
RAP1_SIGNALING_PATHWAY,Rap1 signaling pathway,path:map04015,Environmental Information Processing; Signal transduction,Environmental Information Processing
MORPHINE_ADDICTION,Morphine addiction,path:map05032,Human Diseases; Substance dependence,Human Diseases
CAMP_SIGNALING_PATHWAY,cAMP signaling pathway,path:map04024,Environmental Information Processing; Signal transduction,Environmental Information Processing
CUSHING'S_SYNDROME,Cushing syndrome,path:map04934,Human Diseases; Endocrine and metabolic diseases,Human Diseases
ESTROGEN_SIGNALING_PATHWAY,Estrogen signaling pathway,path:map04915,Organismal Systems; Endocrine system,Organismal Systems
GASTRIC_CANCER,Gastric cancer,path:map05226,Human Diseases; Cancers: Specific types,Human Diseases
BREAST_CANCER,Breast cancer,path:map05224,Human Diseases; Cancers: Specific types,Human Diseases
MELANOGENESIS,Melanogenesis,path:map04916,Organismal Systems; Endocrine system,Organismal Systems
HYPERTROPHIC_CARDIOMYOPATHY_HCM,Hypertrophic cardiomyopathy (HCM),path:map05410,Human Diseases; Cardiovascular diseases,Human Diseases
CELL_ADHESION_MOLECULES_CAMS,Cell adhesion molecules (CAMs),path:map04514,Environmental Information Processing; Signaling molecules and interaction,Environmental Information Processing
MUCIN_TYPE_O_GLYCAN_BIOSYNTHESIS,Mucin type O-glycan biosynthesis,path:map00512,Metabolism; Glycan biosynthesis and metabolism,Metabolism
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,path:map00534,Metabolism; Glycan biosynthesis and metabolism,Metabolism
PROTEIN_DIGESTION_AND_ABSORPTION,Protein digestion and absorption,path:map04974,Organismal Systems; Digestive system,Organismal Systems
SYSTEMIC_LUPUS_ERYTHEMATOSUS,Systemic lupus erythematosus,path:map05322,Human Diseases; Immune diseases,Human Diseases
CHEMOKINE_SIGNALING_PATHWAY,Chemokine signaling pathway,path:map04062,Organismal Systems; Immune system,Organismal Systems
ANTIGEN_PROCESSING_AND_PRESENTATION,Antigen processing and presentation,path:map04612,Organismal Systems; Immune system,Organismal Systems
TUBERCULOSIS,Tuberculosis,path:map05152,Human Diseases; Infectious diseases: Bacterial,Human Diseases
AUTOIMMUNE_THYROID_DISEASE,Autoimmune thyroid disease,path:map05320,Human Diseases; Immune diseases,Human Diseases
GRAFT_VERSUS_HOST_DISEASE,Graft-versus-host disease,path:map05332,Human Diseases; Immune diseases,Human Diseases
ALLOGRAFT_REJECTION,Allograft rejection,path:map05330,Human Diseases; Immune diseases,Human Diseases
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,Natural killer cell mediated cytotoxicity,path:map04650,Organismal Systems; Immune system,Organismal Systems
JAK_STAT_SIGNALING_PATHWAY,JAK-STAT signaling pathway,path:map04630,Environmental Information Processing; Signal transduction,Environmental Information Processing
INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,Intestinal immune network for IgA production,path:map04672,Organismal Systems; Immune system,Organismal Systems
HEMATOPOIETIC_CELL_LINEAGE,Hematopoietic cell lineage,path:map04640,Organismal Systems; Immune system,Organismal Systems
TYPE_I_DIABETES_MELLITUS,Type II diabetes mellitus,path:map04930,Human Diseases; Endocrine and metabolic diseases,Human Diseases
ASTHMA,Asthma,path:map05310,Human Diseases; Immune diseases,Human Diseases
OXIDATIVE_PHOSPHORYLATION,Oxidative phosphorylation,path:map00190,Metabolism; Energy metabolism,Metabolism
PARKINSON'S_DISEASE,Parkinson disease,path:map05012,Human Diseases; Neurodegenerative diseases,Human Diseases
ABC_TRANSPORTERS,ABC transporters,path:map02010,Environmental Information Processing; Membrane transport,Environmental Information Processing
UBIQUITIN_MEDIATED_PROTEOLYSIS,Ubiquitin mediated proteolysis,path:map04120,"Genetic Information Processing; Folding, sorting and degradation",Genetic Information Processing
VIBRIO_CHOLERAE_INFECTION,Vibrio cholerae infection,path:map05110,Human Diseases; Infectious diseases: Bacterial,Human Diseases
GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis / Gluconeogenesis,path:map00010,Metabolism; Carbohydrate metabolism,Metabolism
EPSTEIN_BARR_VIRUS_INFECTION,Epstein-Barr virus infection,path:map05169,Human Diseases; Infectious diseases: Viral,Human Diseases
RNA_DEGRADATION,RNA degradation,path:map03018,"Genetic Information Processing; Folding, sorting and degradation",Genetic Information Processing
RIBOSOME_BIOGENESIS_IN_EUKARYOTES,Ribosome biogenesis in eukaryotes,path:map03008,Genetic Information Processing; Translation,Genetic Information Processing
PEROXISOME,Peroxisome,path:map04146,Cellular Processes; Transport and catabolism,Cellular Processes
OOCYTE_MEIOSIS,Oocyte meiosis,path:map04114,Cellular Processes; Cell growth and death,Cellular Processes
CITRATE_CYCLE_TCA_CYCLE,Citrate cycle (TCA cycle),path:map00020,Metabolism; Carbohydrate metabolism,Metabolism
NUCLEOTIDE_EXCISION_REPAIR,Nucleotide excision repair,path:map03420,Genetic Information Processing; Replication and repair,Genetic Information Processing
DNA_REPLICATION,DNA replication,path:map03030,Genetic Information Processing; Replication and repair,Genetic Information Processing
CIRCADIAN_ENTRAINMENT,Circadian entrainment,path:map04713,Organismal Systems; Environmental adaptation,Organismal Systems
GLUTAMATERGIC_SYNAPSE,Glutamatergic synapse,path:map04724,Organismal Systems; Nervous system,Organismal Systems
GABAERGIC_SYNAPSE,GABAergic synapse,path:map04727,Organismal Systems; Nervous system,Organismal Systems
RETROGRADE_ENDOCANNABINOID_SIGNALING,Retrograde endocannabinoid signaling,path:map04723,Organismal Systems; Nervous system,Organismal Systems
DOPAMINERGIC_SYNAPSE,Dopaminergic synapse,path:map04728,Organismal Systems; Nervous system,Organismal Systems
APELIN_SIGNALING_PATHWAY,Apelin signaling pathway,path:map04371,Environmental Information Processing; Signal transduction,Environmental Information Processing
GAP_JUNCTION,Gap junction,path:map04540,Cellular Processes; Cellular community - eukaryotes,Cellular Processes
FATTY_ACID_DEGRADATION,Fatty acid degradation,path:map00071,Metabolism; Lipid metabolism,Metabolism
LONG_TERM_POTENTIATION,Long-term potentiation,path:map04720,Organismal Systems; Nervous system,Organismal Systems
CHOLINERGIC_SYNAPSE,Cholinergic synapse,path:map04725,Organismal Systems; Nervous system,Organismal Systems
REGULATION_OF_ACTIN_CYTOSKELETON,Regulation of actin cytoskeleton,path:map04810,Cellular Processes; Cell motility,Cellular Processes
WNT_SIGNALING_PATHWAY,Wnt signaling pathway,path:map04310,Environmental Information Processing; Signal transduction,Environmental Information Processing
HEPATOCELLULAR_CARCINOMA,Hepatocellular carcinoma,path:map05225,Human Diseases; Cancers: Specific types,Human Diseases
RELAXIN_SIGNALING_PATHWAY,Relaxin signaling pathway,path:map04926,Organismal Systems; Endocrine system,Organismal Systems
ERBB_SIGNALING_PATHWAY,ErbB signaling pathway,path:map04012,Environmental Information Processing; Signal transduction,Environmental Information Processing
RETINOL_METABOLISM,Retinol metabolism,path:map00830,Metabolism; Metabolism of cofactors and vitamins,Metabolism
STEROID_HORMONE_BIOSYNTHESIS,Steroid hormone biosynthesis,path:map00140,Metabolism; Lipid metabolism,Metabolism
ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES,Adrenergic signaling in cardiomyocytes,path:map04261,Organismal Systems; Circulatory system,Organismal Systems
