taxid,taxname,species,protnum,clade,Type
9601,Pongo_abelii,Pongo_abelii,22000,Mammals,Mammals
9598,Pan_troglodytes,Pan_troglodytes,23008,Mammals,Mammals
9595,Gorilla_gorilla_gorilla,Gorilla_gorilla_gorilla,21796,Mammals,Mammals
1868482,Carlito_syrichta,Carlito_syrichta,23332,Mammals,Mammals
379532,Propithecus_coquereli,Propithecus_coquereli,17882,Mammals,Mammals
61853,Nomascus_leucogenys,Nomascus_leucogenys,20762,Mammals,Mammals
37293,Aotus_nancymaae,Aotus_nancymaae,20372,Mammals,Mammals
30611,Otolemur_garnettii,Otolemur_garnettii,19451,Mammals,Mammals
336983,Colobus_angolensis_palliatus,Colobus_angolensis_palliatus,20530,Mammals,Mammals
61622,Rhinopithecus_roxellana,Rhinopithecus_roxellana,21115,Mammals,Mammals
61621,Rhinopithecus_bieti,Rhinopithecus_bieti,20855,Mammals,Mammals
60711,Chlorocebus_sabaeus,Chlorocebus_sabaeus,19141,Mammals,Mammals
9568,Mandrillus_leucophaeus,Mandrillus_leucophaeus,20780,Mammals,Mammals
9555,Papio_anubis,Papio_anubis,21568,Mammals,Mammals
9545,Macaca_nemestrina,Macaca_nemestrina,21022,Mammals,Mammals
9544,Macaca_mulatta,Macaca_mulatta,21211,Mammals,Mammals
9541,Macaca_fascicularis,Macaca_fascicularis,17395,Mammals,Mammals
9531,Cercocebus_atys,Cercocebus_atys,20885,Mammals,Mammals
1737458,Cebus_capucinus_imitator,Cebus_capucinus_imitator,20237,Mammals,Mammals
39432,Saimiri_boliviensis_boliviensis,Saimiri_boliviensis_boliviensis,19365,Mammals,Mammals
9483,Callithrix_jacchus,Callithrix_jacchus,20990,Mammals,Mammals
419612,Camelus_ferus,Camelus_ferus,20003,Mammals,Mammals
246437,Tupaia_chinensis,Tupaia_chinensis,20824,Mammals,Mammals
13616,Monodelphis_domestica,Monodelphis_domestica,21272,Mammals,Mammals
43179,Ictidomys_tridecemlineatus,Ictidomys_tridecemlineatus,18446,Mammals,Mammals
885580,Fukomys_damarensis,Fukomys_damarensis,20405,Mammals,Mammals
10181,Heterocephalus_glaber,Heterocephalus_glaber,21445,Mammals,Mammals
10141,Cavia_porcellus,Cavia_porcellus,18254,Mammals,Mammals
10116,Rattus_norvegicus,Rattus_norvegicus,21466,Mammals,Mammals
10090,Mus_musculus,Mus_musculus,22295,Mammals,Mammals
56216,Neotoma_lepida,Neotoma_lepida,24274,Mammals,Mammals
10036,Mesocricetus_auratus,Mesocricetus_auratus,20195,Mammals,Mammals
10029,Cricetulus_griseus,Cricetulus_griseus,23881,Mammals,Mammals
10020,Dipodomys_ordii,Dipodomys_ordii,19728,Mammals,Mammals
9986,Oryctolagus_cuniculus,Oryctolagus_cuniculus,19905,Mammals,Mammals
9940,Ovis_aries,Ovis_aries,21220,Mammals,Mammals
9913,Bos_taurus,Bos_taurus,22008,Mammals,Mammals
9823,Sus_scrofa,Sus_scrofa,23232,Mammals,Mammals
9796,Equus_caballus,Equus_caballus,20497,Mammals,Mammals
9785,Loxodonta_africana,Loxodonta_africana,20020,Mammals,Mammals
9685,Felis_catus,Felis_catus,20447,Mammals,Mammals
9669,Mustela_putorius_furo,Mustela_putorius_furo,19909,Mammals,Mammals
9646,Ailuropoda_melanoleuca,Ailuropoda_melanoleuca,19344,Mammals,Mammals
9615,Canis_lupus_familiaris,Canis_lupus_familiaris,20269,Mammals,Mammals
225400,Myotis_davidii,Myotis_davidii,15446,Mammals,Mammals
109478,Myotis_brandtii,Myotis_brandtii,19243,Mammals,Mammals
59463,Myotis_lucifugus,Myotis_lucifugus,19662,Mammals,Mammals
9402,Pteropus_alecto,Pteropus_alecto,19520,Mammals,Mammals
9365,Erinaceus_europaeus,Erinaceus_europaeus,19242,Mammals,Mammals
9305,Sarcophilus_harrisii,Sarcophilus_harrisii,18781,Mammals,Mammals
9258,Ornithorhynchus_anatinus,Ornithorhynchus_anatinus,21677,Mammals,Mammals
441894,Struthio_camelus_australis,Struthio_camelus_australis,13815,Other Vertebrates,Other Vertebrates
345573,Podiceps_cristatus,Podiceps_cristatus,7899,Other Vertebrates,Other Vertebrates
279965,Antrostomus_carolinensis,Antrostomus_carolinensis,8957,Other Vertebrates,Other Vertebrates
175836,Buceros_rhinoceros_silvestris,Buceros_rhinoceros_silvestris,10603,Other Vertebrates,Other Vertebrates
121530,Tauraco_erythrolophus,Tauraco_erythrolophus,10099,Other Vertebrates,Other Vertebrates
118200,Picoides_pubescens,Picoides_pubescens,13097,Other Vertebrates,Other Vertebrates
94827,Tinamus_guttatus,Tinamus_guttatus,13377,Other Vertebrates,Other Vertebrates
188344,Leptosomus_discolor,Leptosomus_discolor,9574,Other Vertebrates,Other Vertebrates
57421,Merops_nubicus,Merops_nubicus,7657,Other Vertebrates,Other Vertebrates
57412,Colius_striatus,Colius_striatus,7080,Other Vertebrates,Other Vertebrates
57397,Apaloderma_vittatum,Apaloderma_vittatum,7903,Other Vertebrates,Other Vertebrates
328815,Manacus_vitellinus,Manacus_vitellinus,12707,Other Vertebrates,Other Vertebrates
85066,Corvus_brachyrhynchos,Corvus_brachyrhynchos,13621,Other Vertebrates,Other Vertebrates
59894,Ficedula_albicollis,Ficedula_albicollis,15290,Other Vertebrates,Other Vertebrates
299123,Lonchura_striata_domestica,Lonchura_striata_domestica,15248,Other Vertebrates,Other Vertebrates
59729,Taeniopygia_guttata,Taeniopygia_guttata,17429,Other Vertebrates,Other Vertebrates
57068,Acanthisitta_chloris,Acanthisitta_chloris,9650,Other Vertebrates,Other Vertebrates
56313,Tyto_alba,Tyto_alba,9263,Other Vertebrates,Other Vertebrates
55661,Cuculus_canorus,Cuculus_canorus,13582,Other Vertebrates,Other Vertebrates
54380,Cariama_cristata,Cariama_cristata,8694,Other Vertebrates,Other Vertebrates
187382,Chlamydotis_macqueenii,Chlamydotis_macqueenii,8277,Other Vertebrates,Other Vertebrates
100784,Balearica_regulorum_gibbericeps,Balearica_regulorum_gibbericeps,8821,Other Vertebrates,Other Vertebrates
54383,Eurypyga_helias,Eurypyga_helias,7979,Other Vertebrates,Other Vertebrates
54374,Mesitornis_unicolor,Mesitornis_unicolor,9395,Other Vertebrates,Other Vertebrates
50402,Charadrius_vociferus,Charadrius_vociferus,14257,Other Vertebrates,Other Vertebrates
240206,Pterocles_gutturalis,Pterocles_gutturalis,7373,Other Vertebrates,Other Vertebrates
43455,Cathartes_aura,Cathartes_aura,7760,Other Vertebrates,Other Vertebrates
37040,Gavia_stellata,Gavia_stellata,7730,Other Vertebrates,Other Vertebrates
30455,Fulmarus_glacialis,Fulmarus_glacialis,8115,Other Vertebrates,Other Vertebrates
30419,Opisthocomus_hoazin,Opisthocomus_hoazin,12773,Other Vertebrates,Other Vertebrates
176057,Nestor_notabilis,Nestor_notabilis,9137,Other Vertebrates,Other Vertebrates
12930,Amazona_aestiva,Amazona_aestiva,16092,Other Vertebrates,Other Vertebrates
9238,Pygoscelis_adeliae,Pygoscelis_adeliae,12848,Other Vertebrates,Other Vertebrates
9233,Aptenodytes_forsteri,Aptenodytes_forsteri,13704,Other Vertebrates,Other Vertebrates
9218,Phoenicopterus_ruber_ruber,Phoenicopterus_ruber_ruber,8220,Other Vertebrates,Other Vertebrates
188379,Egretta_garzetta,Egretta_garzetta,13489,Other Vertebrates,Other Vertebrates
128390,Nipponia_nippon,Nipponia_nippon,14132,Other Vertebrates,Other Vertebrates
97097,Phaethon_lepturus,Phaethon_lepturus,9152,Other Vertebrates,Other Vertebrates
36300,Pelecanus_crispus,Pelecanus_crispus,8686,Other Vertebrates,Other Vertebrates
9209,Phalacrocorax_carbo,Phalacrocorax_carbo,8990,Other Vertebrates,Other Vertebrates
9103,Meleagris_gallopavo,Meleagris_gallopavo,14166,Other Vertebrates,Other Vertebrates
9031,Gallus_gallus,Gallus_gallus,19122,Other Vertebrates,Other Vertebrates
9014,Colinus_virginianus,Colinus_virginianus,17122,Other Vertebrates,Other Vertebrates
9009,Callipepla_squamata,Callipepla_squamata,16973,Other Vertebrates,Other Vertebrates
8969,Haliaeetus_albicilla,Haliaeetus_albicilla,8357,Other Vertebrates,Other Vertebrates
372326,Patagioenas_fasciata_monilis,Patagioenas_fasciata_monilis,19485,Other Vertebrates,Other Vertebrates
8932,Columba_livia,Columba_livia,14619,Other Vertebrates,Other Vertebrates
9244,Calypte_anna,Calypte_anna,13267,Other Vertebrates,Other Vertebrates
8897,Chaetura_pelagica,Chaetura_pelagica,3162,Other Vertebrates,Other Vertebrates
8839,Anas_platyrhynchos,Anas_platyrhynchos,15659,Other Vertebrates,Other Vertebrates
28377,Anolis_carolinensis,Anolis_carolinensis,18528,Other Vertebrates,Other Vertebrates
8665,Ophiophagus_hannah,Ophiophagus_hannah,18387,Other Vertebrates,Other Vertebrates
38654,Alligator_sinensis,Alligator_sinensis,18578,Other Vertebrates,Other Vertebrates
